,Area,Children,Age,Income,Marital,Gender,Churn,Outage_sec_perweek,Yearly_equip_failure,Tenure,MonthlyCharge,Bandwidth_GB_Year,Area_cat,Marital_cat,Gender_cat,Churn_cat
26,Rural,1,47,8762.23,Married,Female,Yes,15.8626095,1,10.40566091,222.649979,1506.446527,0,1,0,1
27,Urban,0,70,43882.72,Widowed,Female,Yes,14.73616645,0,1.392421597,139.981577,419.0508708,2,4,0,1
28,Urban,3,20,10482.52,Separated,Female,Yes,13.43558029,0,1.430386349,200.132293,1259.415493,2,3,0,1
29,Suburban,4,69,33442.79,Never Married,Male,Yes,10.61771118,0,5.425864884,257.651257,1745.125956,1,2,1,1
30,Urban,9,45,43383.54,Married,Male,No,6.613070806,0,11.08287797,230.105118,1795.465729,2,1,1,0
31,Rural,0,40,21793.88,Never Married,Female,No,4.450171647,0,3.586184954,147.489301,492.4771472,0,2,0,0
32,Rural,6,82,51960.51,Divorced,Female,Yes,8.774646693,0,4.727388465,230.105118,1013.993166,0,0,0,1
33,Rural,5,74,25942.1,Separated,Male,Yes,11.13156721,1,20.89923386,174.958118,2680.762173,0,3,1,1
34,Urban,4,69,11211.59,Widowed,Male,Yes,5.540788887,0,3.471329958,267.664655,1081.814362,2,4,1,1
35,Suburban,1,52,8283.29,Never Married,Male,Yes,13.80362698,1,5.478588204,162.483267,1209.961168,1,2,1,1
36,Suburban,2,26,10114.81,Never Married,Female,Yes,16.31017089,1,3.312991809,229.993134,897.5919144,1,2,0,1
37,Urban,1,25,36229.21,Never Married,Female,No,9.447065309,0,7.161561527,140.00128,1340.930156,2,2,0,0
38,Suburban,1,66,25397.44,Divorced,Female,No,16.84100845,0,9.847563364,184.964681,1113.993679,1,0,0,0
39,Suburban,1,72,50336.5,Divorced,Male,No,7.972937227,1,16.04202196,147.473844,1530.10769,1,0,1,0
40,Urban,3,21,38211.37,Divorced,Female,No,11.42906608,0,9.179779682,172.457857,1310.137419,2,0,0,0
41,Suburban,3,55,52887.26,Married,Male,No,8.06137096,0,3.002844144,107.481989,892.8964931,1,1,1,0
42,Suburban,4,41,12003.33,Divorced,Male,Yes,12.54780492,2,3.924254455,255.141716,1125.581944,1,0,1,1
43,Suburban,4,32,24090.62,Never Married,Male,No,8.255565152,0,18.55959629,192.456745,2016.710031,1,2,1,0
44,Rural,0,22,15137.93,Never Married,Female,Yes,13.156514,0,8.798394712,242.632554,1412.736809,0,2,0,1
45,Urban,2,44,54458.38,Divorced,Female,Yes,10.58349704,0,10.377366,245.174977,1710.689671,2,0,0,1
46,Suburban,2,23,132116.33,Divorced,Male,Yes,12.50184778,0,22.25746016,184.964681,2384.885909,1,0,1,1
47,Suburban,3,43,37358.13,Never Married,Female,Yes,9.750038902,0,9.427146079,195.006206,1213.940165,1,2,0,1
48,Rural,1,86,26534.16,Separated,Female,No,7.868660851,2,7.760290062,104.962874,740.010722,0,3,0,0
49,Suburban,2,84,76430.83,Married,Female,No,12.43563329,1,11.56938439,92.488023,897.9716153,1,1,0,0
50,Urban,2,62,4662.37,Separated,Female,Yes,8.957166926,0,3.343811019,184.979684,1026.387172,2,3,0,1
51,Urban,5,68,43820.85,Divorced,Female,Yes,8.015021713,0,7.338869531,187.656013,1234.244324,2,0,0,1
52,Suburban,1,59,38391.55,Never Married,Female,No,4.210347704,0,5.486534225,149.962093,727.3731845,1,2,0,0
53,Urban,0,31,44137.6,Separated,Female,Yes,11.13960534,0,1.55278221,169.944668,452.8721504,2,3,0,1
54,Urban,0,51,14364.65,Widowed,Male,Yes,9.03738856,0,12.07970325,160.00128,1296.674543,2,4,1,1
55,Suburban,1,58,62359.91,Separated,Female,No,10.91594785,1,13.98666226,129.962093,1840.628269,1,3,0,0
56,Suburban,1,73,82634.86,Married,Male,Yes,8.387624096,1,9.563362997,114.950905,1324.330108,1,1,1,1
57,Rural,1,33,15690.25,Widowed,Female,No,11.4487514,1,6.732948946,142.515576,958.1397059,0,4,0,0
58,Suburban,1,58,14568.7,Separated,Male,Yes,10.22013704,0,15.72071086,220.14775,1868.864027,1,3,1,1
59,Rural,0,49,29207.46,Never Married,Female,No,8.425458142,0,7.233605493,124.97808,676.712908,0,2,0,0
60,Suburban,1,26,55319.23,Never Married,Female,No,8.386280619,0,2.871017037,164.964681,1086.990308,1,2,0,0
61,Urban,1,25,81831.49,Widowed,Male,No,9.565924291,0,2.344875382,194.976769,704.7540406,2,4,1,0
62,Rural,0,42,100076.65,Separated,Female,Yes,10.79349982,0,7.960490246,152.455519,1416.444695,0,3,0,1
63,Rural,1,81,69965.65,Widowed,Male,No,6.081975067,0,12.25062113,92.5018,1095.950634,0,4,1,0
64,Suburban,1,43,34883.69,Divorced,Female,No,13.55065547,0,9.634946079,127.488728,1083.610268,1,0,0,0
65,Urban,2,63,45634.2,Never Married,Male,No,9.470419821,0,7.916533093,184.963371,1570.641337,2,2,1,0
66,Suburban,3,70,10964.73,Married,Female,Yes,6.194985909,1,4.471254161,265.146969,1007.425553,1,1,0,1
67,Urban,1,78,22365.28,Widowed,Male,Yes,10.80393657,0,10.79028074,207.609354,1323.028419,2,4,1,1
68,Urban,0,48,52636.6,Separated,Male,No,7.903964267,1,12.24190682,152.462354,1808.730555,2,3,1,0
69,Suburban,1,63,19048.13,Separated,Female,Yes,11.27443693,1,2.203859443,200.132293,1120.241472,1,3,0,1
70,Urban,4,60,42784.82,Married,Female,Yes,6.129509309,0,23.92132231,212.655686,2676.789803,2,1,0,1
71,Rural,0,87,77996.88,Divorced,Male,Yes,7.969277912,0,3.7311787,255.119794,1268.086909,0,0,1,1
72,Suburban,3,54,47507.3,Married,Female,No,4.368120492,0,7.980015371,134.950905,822.6771666,1,1,0,0
73,Urban,3,35,7724.73,Divorced,Male,Yes,6.258356398,1,9.190009376,255.137219,1577.915603,2,0,1,1
74,Urban,1,70,1509.52,Never Married,Male,Yes,12.92303286,0,2.378630018,214.966286,648.7471776,2,2,1,1
75,Rural,2,67,81124.71,Married,Female,Yes,12.43301273,0,5.43464555,270.160419,1648.102673,0,1,0,1
76,Rural,4,46,11795.57,Widowed,Female,Yes,7.607663559,0,1.092361222,200.165175,768.0874545,0,4,0,1
77,Urban,1,50,74794.84,Never Married,Male,No,7.442789019,1,20.13981517,149.937833,2426.030626,2,2,1,0
78,Rural,1,24,19038.78,Never Married,Female,Yes,13.04429298,0,24.64873861,240.114868,2660.503932,0,2,0,1
79,Rural,0,20,79167.77,Divorced,Male,No,14.89762162,0,9.677739656,127.495766,1129.549713,0,0,1,0
80,Urban,1,29,37428.26,Married,Female,Yes,13.79387475,1,9.82814183,187.609354,1771.286466,2,1,0,1
81,Rural,0,31,45148.38,Divorced,Male,No,15.66367593,0,7.832238337,169.992756,943.3391244,0,0,1,0
82,Urban,5,72,74855.47,Separated,Female,No,8.513410306,0,19.45250317,192.456745,1907.226083,2,3,0,0
83,Urban,4,71,45323.86,Divorced,Male,No,8.265002035,0,14.34766616,120.004928,1885.939118,2,0,1,0
84,Suburban,2,32,71596.14,Divorced,Female,No,8.6026551,0,2.257358355,195.006206,631.7435653,1,0,0,0
85,Rural,0,33,10389.95,Never Married,Male,No,6.03993035,0,2.358129018,139.95684,562.6095219,0,2,1,0
86,Suburban,3,67,19657.14,Widowed,Male,No,14.6040829,0,4.650578623,114.983787,593.8572264,1,4,1,0
87,Suburban,0,66,27827.03,Divorced,Female,Yes,7.274007029,1,3.721772616,207.638588,777.3060718,1,0,0,1
88,Rural,4,21,15609.05,Separated,Female,Yes,8.913898759,0,3.76663012,187.609354,1393.202392,0,3,0,1
89,Urban,0,61,19815.63,Never Married,Female,No,11.59313893,2,4.151256695,134.950905,393.6524652,2,2,0,0
90,Rural,0,75,58482.9,Separated,Female,Yes,8.294186076,0,2.188918771,192.470522,409.7486664,0,3,0,1
91,Urban,0,63,41656.53,Widowed,Female,Yes,15.19664016,0,13.85488928,222.628057,2138.107161,2,4,0,1
92,Suburban,0,68,115510.46,Separated,Female,No,5.083995994,0,3.273341151,162.468917,443.984031,1,3,0,0
93,Suburban,2,32,15841.19,Never Married,Male,Yes,6.942719201,1,19.75096265,159.979358,2481.385603,1,2,1,1
94,Suburban,0,76,81127.41,Never Married,Male,No,9.834012571,0,18.38404445,184.979684,2233.567181,1,2,1,0
95,Suburban,0,29,24270.88,Divorced,Female,Yes,11.0596826,0,4.672610857,245.145743,1158.91369,1,0,0,1
96,Rural,0,83,54466.33,Married,Female,No,8.834079073,1,6.796299371,124.97808,529.40733,0,1,0,0
97,Suburban,10,23,64816.84,Divorced,Male,Yes,5.271228601,1,12.97632235,187.484705,1956.7337,1,0,1,1
98,Rural,5,80,103311.26,Never Married,Male,No,9.394961367,0,20.31163945,162.500692,2056.386979,0,2,1,0
99,Suburban,0,20,40211.04,Never Married,Male,No,14.4754365,1,6.998814446,182.467607,1067.373076,1,2,1,0
100,Urban,0,69,58077.38,Separated,Male,Yes,10.68311773,1,14.46288204,222.660939,1806.135733,2,3,1,1
101,Urban,1,32,43466.35,Never Married,Male,No,13.79409442,0,11.13472066,182.467607,1397.701335,2,2,1,0
102,Urban,0,53,23289.77,Divorced,Female,Yes,12.40165307,0,2.542296644,220.161527,808.4305471,2,0,0,1
103,Rural,2,25,49158.49,Separated,Male,No,10.24782033,0,17.22596021,169.937833,1886.531937,0,3,1,0
104,Suburban,0,69,3805.84,Divorced,Male,Yes,14.86100819,2,22.79214163,204.963371,2294.781131,1,0,1,1
105,Urban,3,71,52616.27,Widowed,Male,Yes,6.716953195,1,3.823689744,204.963371,826.3438621,2,4,1,1
106,Urban,3,53,30550.42,Widowed,Female,Yes,8.124258176,0,10.77094687,245.128318,2072.564168,2,4,0,1
107,Urban,2,56,12154.01,Divorced,Nonbinary,Yes,14.60903837,2,13.08671185,172.473314,1436.793746,2,0,2,1
108,Suburban,0,42,30649.31,Married,Male,Yes,12.65015936,2,14.76468813,172.456745,1963.332683,1,1,1,1
109,Suburban,3,33,31417.33,Married,Male,Yes,12.0281501,0,9.473091121,194.976769,1324.164906,1,1,1,1
110,Urban,1,47,55861.19,Divorced,Male,No,15.68043093,0,5.197446331,137.439154,704.9375603,2,0,1,0
111,Urban,1,48,9044.26,Widowed,Female,Yes,11.30421466,1,6.577552683,192.470522,888.6517305,2,4,0,1
112,Rural,0,63,25381.66,Never Married,Female,Yes,10.26646787,0,3.174571918,159.951231,377.0810282,0,2,0,1
113,Urban,1,40,65064.31,Widowed,Male,No,7.56618217,0,17.88002366,112.455141,1606.489936,2,4,1,0
114,Urban,0,67,12527.51,Divorced,Male,Yes,10.40677369,0,13.12190056,174.961766,1431.409396,2,0,1,1
115,Urban,0,56,35499.06,Divorced,Female,No,7.146124361,0,23.34617699,162.452604,2253.85247,2,0,0,0
116,Urban,6,24,26282.4,Married,Female,No,9.807530479,0,6.311709178,137.483594,1353.29384,2,1,0,0
117,Urban,2,79,51237.28,Divorced,Female,No,10.61217014,0,12.58298231,275.133571,1701.457566,2,0,0,0
118,Rural,3,61,64222.21,Married,Male,Yes,5.785085772,1,7.120096363,127.442069,1290.737183,0,1,1,1
119,Urban,0,38,11014.98,Divorced,Male,Yes,9.062879297,0,9.344886869,210.138,1403.270091,2,0,1,1
120,Rural,4,28,21172.49,Divorced,Female,No,16.54443477,0,22.37815032,147.456419,2603.903672,0,0,0,0
121,Urban,3,44,26130.78,Divorced,Male,Yes,4.539566699,0,4.799514433,242.657291,1256.287854,2,0,1,1
122,Suburban,1,65,36478.21,Widowed,Male,No,7.251198724,0,10.04672315,114.983787,980.9935923,1,4,1,0
123,Urban,3,35,54533.63,Divorced,Female,No,8.943293567,1,8.156552837,187.656013,1347.869205,2,0,0,0
124,Suburban,2,31,37103.18,Separated,Female,No,12.57884215,1,7.992791229,149.991327,1127.267848,1,3,0,0
125,Suburban,2,34,74679.84,Widowed,Male,No,11.64836306,1,7.231032028,124.960655,1269.836202,1,4,1,0
126,Urban,2,68,95028.57,Separated,Male,Yes,6.076260652,0,4.627672042,220.161527,1038.745378,2,3,1,1
127,Urban,0,62,34281.1,Never Married,Male,No,11.75681641,0,10.05306287,172.48852,1531.155367,2,2,1,0
128,Urban,0,52,36240.81,Separated,Male,No,9.173739977,1,4.171044392,120.004928,991.2441024,2,3,1,0
129,Urban,5,32,9515.64,Divorced,Male,Yes,8.353693631,0,4.568682641,220.161527,1244.296865,2,0,1,1
130,Rural,0,47,125814.88,Divorced,Female,Yes,10.74539526,1,6.085030507,139.965008,1162.332926,0,0,0,1
131,Rural,8,66,12995.68,Divorced,Female,No,11.36323648,1,2.730250735,159.951231,577.1157824,0,0,0,0
132,Rural,1,70,77531.43,Divorced,Female,Yes,2.310584634,0,8.574901206,184.949594,1442.974877,0,0,0,1
133,Suburban,3,41,87354.99,Divorced,Male,Yes,5.290318715,0,9.743201772,252.637807,1577.208717,1,0,1,1
134,Suburban,2,59,76567.85,Separated,Male,No,5.258274954,0,9.482919033,112.455141,886.9398744,1,3,1,0
135,Rural,1,46,30663.52,Married,Male,No,7.157580014,0,8.447988841,179.979358,1065.06443,0,1,1,0
136,Suburban,3,70,122957.19,Married,Male,No,2.120350511,0,6.365998533,202.443347,951.886985,1,1,1,0
137,Urban,1,89,31600.92,Widowed,Male,No,4.978546291,0,7.251397592,197.472533,1404.435534,2,4,1,0
138,Suburban,4,75,74638.78,Never Married,Female,Yes,6.547676875,1,14.64011644,255.155493,1925.911722,1,2,0,1
139,Urban,0,26,32652.3,Married,Female,Yes,7.410590719,1,11.71637124,174.976769,1805.011298,2,1,0,1
140,Urban,4,25,63650.54,Divorced,Female,No,11.39765385,1,4.13273503,169.992756,700.7343179,2,0,0,0
141,Rural,1,84,28622.6,Widowed,Female,Yes,11.29945603,0,2.887429547,192.440432,513.237305,0,4,0,1
142,Suburban,3,69,50252.79,Never Married,Male,No,11.30748265,2,3.303030246,182.460772,717.3876564,1,2,1,0
143,Urban,3,31,19800.81,Divorced,Male,No,10.31551212,1,5.15825129,139.965008,1313.492851,2,0,1,0
144,Suburban,10,76,35954.77,Married,Male,Yes,13.71555406,0,3.237560234,137.461553,819.4195269,1,1,1,1
145,Rural,8,75,36342.31,Divorced,Male,Yes,15.40917963,0,2.733109234,217.472533,882.1160656,0,0,1,1
146,Rural,1,74,48715.53,Divorced,Nonbinary,Yes,11.9664542,0,3.180102025,210.138,724.7803356,0,0,2,1
147,Suburban,1,49,23204.98,Divorced,Male,No,10.18046877,0,15.85983755,104.964303,1829.270014,1,0,1,0
148,Rural,1,47,35302.52,Separated,Male,Yes,14.01485542,1,11.73724209,262.610632,1668.199119,0,3,1,1
149,Urban,4,20,54895.16,Married,Female,Yes,14.62784306,0,7.006240694,152.488401,1124.353152,2,1,0,1
150,Suburban,2,26,60398.06,Never Married,Female,Yes,10.90517581,0,5.562130367,174.974431,1316.239744,1,2,0,1
151,Urban,2,72,8115.88,Never Married,Female,No,8.894475174,1,14.53027663,220.118516,1637.201426,2,2,0,0
152,Urban,1,41,33858.66,Divorced,Male,No,10.50187888,0,5.905906389,162.452604,951.8524406,2,0,1,0
153,Suburban,3,26,29950.47,Married,Female,Yes,12.34250072,1,3.260462654,184.961033,1248.097652,1,1,0,1
154,Urban,4,55,49421.69,Separated,Male,No,10.29380879,0,18.91276578,217.483972,2220.255405,2,3,1,0
155,Urban,1,46,11061.05,Married,Female,No,8.512650562,1,14.25617986,220.118516,1669.202417,2,1,0,0
156,Suburban,0,87,15388.32,Separated,Female,Yes,7.82671592,2,7.983887266,187.642236,990.0555076,1,3,0,1
157,Rural,1,39,20624.31,Divorced,Male,No,6.985590245,1,5.969967132,174.961766,967.9819136,0,0,1,0
158,Rural,0,81,47877.81,Married,Male,Yes,11.40449185,0,19.95277818,252.637807,2190.259876,0,1,1,1
159,Suburban,0,83,46154.17,Never Married,Male,No,10.44249511,0,14.85781115,130.024412,1445.752781,1,2,1,0
160,Urban,0,50,107111.8,Widowed,Female,Yes,15.38627887,0,2.600063739,162.482694,528.6553088,2,4,0,1
161,Urban,3,87,10403.59,Married,Female,Yes,10.68024546,1,11.92299244,182.467607,1296.481055,2,1,0,1
162,Rural,3,76,22412.6,Married,Female,No,10.62439366,0,5.972864167,139.934918,1195.393037,0,1,0,0
163,Suburban,6,25,19476.27,Widowed,Female,Yes,10.91642397,0,10.87555535,200.165175,1700.121992,1,4,0,1
164,Rural,3,34,96382.76,Married,Male,Yes,8.580626195,0,16.00330155,202.682861,2120.673828,0,1,1,1
165,Suburban,1,46,28022.56,Divorced,Female,No,8.996933306,1,12.63074989,159.951231,1238.421347,1,0,0,0
166,Suburban,1,73,35478.4,Married,Female,No,7.602570192,0,8.4944392,149.948316,847.110799,1,1,0,0
167,Suburban,8,57,10155.51,Divorced,Female,Yes,9.217689334,1,8.044444101,149.959755,1112.937102,1,0,0,1
168,Rural,3,58,87537.25,Divorced,Male,No,9.591529444,1,12.07358377,137.469817,1623.045026,0,0,1,0
169,Urban,4,70,34112.1,Never Married,Male,Yes,13.36027908,0,10.21634248,187.656013,1479.730181,2,2,1,1
170,Suburban,0,53,32653.51,Married,Male,Yes,4.372034777,0,15.50354683,164.985293,2144.735024,1,1,1,1
171,Suburban,0,31,35321.46,Married,Male,Yes,10.59285179,3,13.88004531,159.965008,1522.289512,1,1,1,1
172,Suburban,0,38,49277.48,Widowed,Female,No,12.81260566,0,19.48900163,172.462354,1974.780054,1,4,0,0
173,Rural,0,26,37297.82,Widowed,Female,Yes,3.767298987,0,10.01771765,204.949594,1261.177198,0,4,0,1
174,Rural,2,44,14928.96,Widowed,Male,No,17.56798903,0,7.34059599,147.473844,939.7181324,0,4,1,0
175,Suburban,3,66,24702.68,Divorced,Female,Yes,11.2369761,2,12.64742067,162.471255,1357.062854,1,0,0,1
176,Suburban,1,58,87535.71,Divorced,Male,No,8.54892416,1,8.850426839,119.95684,1456.887443,1,0,1,0
177,Rural,6,51,63166.87,Divorced,Female,Yes,6.094109902,0,3.701557118,207.609354,937.5863866,0,0,0,1
178,Urban,4,34,11856.81,Separated,Female,No,13.9077275,0,2.976033785,194.999168,830.1193011,2,3,0,0
179,Rural,0,87,27326.79,Widowed,Nonbinary,No,7.905333122,0,5.522376826,174.975543,737.8564608,0,4,2,0
180,Rural,1,67,12779.23,Divorced,Female,Yes,12.53830949,1,15.64596698,240.114868,1781.854862,0,0,0,1
181,Urban,4,59,25519.91,Never Married,Nonbinary,Yes,12.8219418,1,23.00764441,240.114868,2464.577489,2,2,2,1
182,Urban,7,23,46871.21,Divorced,Male,No,8.941553742,0,17.24924155,139.983006,2392.203409,2,0,1,0
183,Suburban,0,42,77383.72,Widowed,Male,Yes,10.51043963,0,13.01107597,240.114868,1664.19271,1,4,1,1
184,Suburban,1,24,47395.3,Divorced,Female,Yes,11.86384439,0,5.104082209,209.993134,1433.616898,1,0,0,1
185,Urban,2,81,90977.74,Widowed,Female,No,10.76051016,0,3.521499924,147.456419,823.4933243,2,4,0,0
186,Suburban,8,78,135727.71,Separated,Male,No,11.05420024,0,8.08137067,107.495766,1468.357421,1,3,1,0
187,Rural,1,51,47726.25,Separated,Female,Yes,8.174495258,0,1.875430489,152.502178,590.7765801,0,3,0,1
188,Suburban,1,70,51721.64,Never Married,Female,No,10.05388383,0,5.587484456,79.978861,418.6206885,1,2,0,0
189,Urban,0,87,41531.03,Married,Female,No,7.045552801,0,7.007695148,142.482694,1181.991846,2,1,0,0
190,Urban,0,46,33504.8,Divorced,Female,No,8.957297136,0,1.408375942,117.439154,733.4036934,2,0,0,0
191,Urban,8,56,34197.3,Widowed,Female,Yes,15.74015572,1,11.64983735,220.132293,1719.173387,2,4,0,1
192,Suburban,4,44,11518.58,Married,Male,Yes,13.41209586,0,2.964559883,152.455519,1205.956363,1,1,1,1
193,Urban,0,33,31065.17,Never Married,Female,No,14.89835355,1,10.25635754,174.961766,1261.032763,2,2,0,0
194,Suburban,0,19,32097.17,Widowed,Female,Yes,13.62135046,1,3.892407013,202.443347,741.7766988,1,4,0,1
195,Suburban,1,31,23424.88,Never Married,Male,Yes,14.95912113,1,3.226996711,210.12704,932.6084359,1,2,1,1
196,Urban,1,34,35988.24,Separated,Female,No,11.741245,0,15.87685513,139.979239,1708.614019,2,3,0,0
197,Urban,4,43,35539.7,Never Married,Male,No,7.765121655,1,5.874064017,139.965008,1363.58603,2,2,1,0
198,Suburban,1,82,27959.34,Separated,Male,No,7.130431693,0,3.756359276,137.439154,472.1057019,1,3,1,0
199,Rural,6,36,52232.97,Widowed,Female,No,8.359515606,0,2.905283283,102.474625,558.2340556,0,4,0,0
200,Suburban,1,48,18198.59,Never Married,Male,Yes,9.42799205,0,1.474810061,252.637807,815.194738,1,2,1,1
201,Rural,0,52,16851.94,Widowed,Male,Yes,10.95510131,1,18.56165869,194.999168,2007.303617,0,4,1,1
202,Suburban,1,35,16440.05,Never Married,Nonbinary,Yes,10.8621377,0,12.39088509,242.610632,2088.48083,1,2,2,1
203,Suburban,3,83,44223.58,Widowed,Female,No,7.352533505,0,14.17192333,127.458638,1430.761492,1,4,0,0
204,Suburban,0,20,33343.73,Widowed,Male,No,11.38860234,0,3.86023041,129.976324,822.3008694,1,4,1,0
205,Suburban,0,25,30664.56,Separated,Female,Yes,9.580144161,0,17.72593456,240.114868,2059.200998,1,3,0,1
206,Suburban,0,88,31934.04,Divorced,Male,No,10.79191234,0,3.043063167,174.975543,617.542543,1,0,1,0
207,Suburban,1,54,26676.4,Widowed,Female,No,9.982341124,0,5.827112819,169.944668,758.4775985,1,4,0,0
208,Suburban,1,46,67211.95,Never Married,Male,Yes,6.511921085,1,4.648958177,162.511928,894.6733856,1,2,1,1
209,Suburban,2,75,31136.77,Widowed,Female,No,10.70500472,0,11.96274778,119.95684,1639.898269,1,4,0,0
210,Urban,5,66,40660.84,Widowed,Male,No,11.58410296,1,4.525864256,137.439154,710.7541633,2,4,1,0
211,Suburban,0,51,10606.59,Divorced,Female,No,8.01651453,1,8.038308899,207.46728,1092.226042,1,0,0,0
212,Rural,3,81,92447.71,Divorced,Female,No,15.12148226,0,1.416592892,149.974105,757.0097075,0,0,0,0
213,Suburban,0,75,13612.16,Never Married,Male,No,12.63643487,0,19.83504645,225.178625,2301.850721,1,2,1,0
214,Urban,3,54,13765.39,Widowed,Female,Yes,16.68178185,0,15.85002222,232.637807,2401.406545,2,4,0,1
215,Rural,2,73,53019.98,Never Married,Male,No,11.08409914,1,15.94935291,117.472036,1535.788894,0,2,1,0
216,Urban,0,53,42523.02,Separated,Male,No,12.99948061,1,11.94550648,137.469817,1536.589816,2,3,1,0
217,Suburban,8,33,52143.7,Never Married,Female,No,11.17949466,1,16.03360405,220.132293,2153.778421,1,2,0,0
218,Urban,5,41,19097.94,Widowed,Female,No,7.369412654,1,21.29342532,124.960655,2409.195918,2,4,0,0
219,Urban,1,59,11301.4,Divorced,Female,No,9.84688181,0,4.95598008,199.990219,1342.862457,2,0,0,0
220,Suburban,3,23,17814.0,Separated,Female,Yes,18.19542503,0,2.73951266,159.947583,1046.054674,1,3,0,1
221,Rural,1,32,22533.05,Widowed,Female,Yes,13.53989069,1,4.973046104,245.145743,1204.479468,0,4,0,1
222,Rural,3,51,19974.4,Never Married,Female,Yes,5.458806701,0,10.28430068,255.155493,1616.908193,0,2,0,1
223,Rural,1,46,45146.99,Never Married,Female,No,12.0772854,1,2.581692044,134.950905,345.0099528,0,2,0,0
224,Rural,3,37,10330.1,Married,Male,Yes,6.918984305,0,6.945736396,159.947583,1427.088655,0,1,1,1
225,Suburban,0,53,15281.28,Never Married,Male,No,14.84155042,0,9.999416271,139.987503,1452.334634,1,2,1,0
226,Urban,1,62,11217.96,Divorced,Male,Yes,12.66717474,0,6.035737465,179.947583,795.4957358,2,0,1,1
227,Suburban,1,57,17516.0,Separated,Female,No,11.43786808,1,9.004964377,127.473844,1333.894229,1,3,0,0
228,Suburban,2,80,20566.64,Married,Female,Yes,6.915228797,0,5.071456681,232.637807,1402.20491,1,1,0,1
229,Urban,1,43,36128.68,Married,Male,Yes,11.30215199,1,12.02106494,195.006206,1447.196935,2,1,1,1
230,Suburban,1,35,52129.84,Divorced,Male,Yes,9.513085538,0,5.049303717,267.642733,1662.510936,1,0,1,1
231,Suburban,1,63,25985.06,Never Married,Female,No,9.497106973,0,18.17247008,149.959755,1707.641161,1,2,0,0
232,Urban,1,63,10909.79,Widowed,Female,Yes,12.21852573,0,15.31997698,220.114868,2181.752793,2,4,0,1
233,Rural,1,27,41151.14,Divorced,Female,No,8.272244827,0,16.0708543,157.483594,1575.683555,0,0,0,0
